"segment","total_emisssions","ave_emissions"
"Total","727062.0911706975","1756.1886260161775"
"Onshore oil","68564.74320124905","315.9665585311016"
"Steam coal","60343.77334354073","2011.4591114513576"
"Onshore gas","36054.66739721806","250.3796347029032"
"Gas pipelines and LNG facilities","24600.643844261765","150.00392587964492"
"Coking coal","20323.058074355125","846.7940864314636"
"Bioenergy","19134.448076667264","205.74675351255124"
"Offshore oil","16778.74973843299","105.5267279146729"
"Offshore gas","8685.836718329228","73.60878574855279"
"Satellite-detected large oil and gas emissions","6208.900006651878","295.6619050786609"
